"","Year","Human resources","Attractive research systems","Digitalisation","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support","Firm investments"
"41",2016,97.571,118.365,81.055,135.43,143.835,162.682,130.687,134.478,110.778,117.049,88.6,146.814
"42",2017,97.571,119.016,81.055,133.245,143.835,165.188,128.32,134.478,112.035,117.692,115.192,148.388
"43",2018,102.484,119.359,81.055,129.189,143.835,166.042,130.083,134.478,112.651,117.026,118.979,148.125
"44",2019,97.571,119.46,81.055,135.742,143.598,160.662,126.918,134.001,114.135,117.459,122.82,154.455
"45",2020,97.571,118.09,81.055,141.046,143.598,161.681,120.856,134.001,113.429,120.018,131.535,155.242
"46",2021,97.571,118.466,81.055,116.709,208.716,193.497,120.629,141.192,114.726,123.614,132.029,158.448
"47",2022,97.571,120.665,90.048,116.709,208.716,196.823,118.968,141.192,116.161,125.268,112.134,156.088
"48",2023,94.147,119.32,100.84,129.388,197.22,189.25,112.042,138.636,116.628,124.518,111.904,152.68
"49",2016,167.294,189.539,167.37,146.183,100.413,275.999,139.547,109.848,82.363,127.839,93.798,97.232
"50",2017,167.294,196.035,167.37,143.375,100.413,284.972,143.025,109.848,80.982,125.802,127.912,99.33
"51",2018,172.207,200.044,167.37,137.447,100.413,282.39,140.236,109.848,78.15,122.584,127.759,101.166
"52",2019,172.207,210.262,167.37,142.439,109.858,289.478,138.258,107.642,75.809,123.559,130.48,122.147
"53",2020,167.294,207.973,167.37,150.239,109.858,291.799,140.287,107.642,77.005,129.97,149.558,122.409
"54",2021,162.382,214.803,167.37,148.991,165.84,284.83,143.323,121.871,71.305,131.33,154.126,129.425
"55",2022,162.382,218.635,169.768,148.991,165.84,286.066,137.588,121.871,73.46,132.432,133.255,128.901
"56",2023,166.697,207.478,169.768,160.423,163.841,288.345,125.707,116.42,106.916,132.811,136.382,124.398
"57",2016,114.62,72.47,87.535,107.752,25.49,128.455,75.733,64.02,64.575,59.712,89.502,62.503
"58",2017,109.707,83.503,87.535,107.128,25.49,139.42,89.325,64.02,66.6,40.568,121.434,64.076
"59",2018,109.707,90.785,87.535,106.504,25.49,139.675,105.948,64.02,65.355,30.793,94.31,63.027
"60",2019,114.62,102.039,87.535,106.816,105.002,209.845,111.556,118.005,66.561,47.945,103.19,95.318
"61",2020,114.62,110.969,87.535,118.672,105.002,243.127,104.504,118.005,67.882,45.709,106.016,95.318
"62",2021,114.62,123.391,87.535,118.36,221.672,266.138,104.896,155.379,74.522,48.862,130.364,112.018
"63",2022,114.62,133.181,92.481,118.36,221.672,276.985,109.516,155.379,77.644,46.081,111.808,114.378
"64",2023,118.508,138.274,97.278,131.013,133.265,215.535,107.939,155.379,69.388,23.887,112.779,98.034
"65",2016,60.61,63.695,62.742,44.65,126.921,98.89,38.785,96.589,57.345,76.268,41.988,53.627
"66",2017,60.61,65.193,62.742,44.962,126.921,100.829,42.222,96.589,57.143,68.476,66.982,54.676
"67",2018,65.523,68.663,62.742,34.666,126.921,104.268,43.532,96.589,56.316,68.293,61.391,57.299
"68",2019,65.523,64.738,62.742,42.466,170.913,147.277,41.174,107.22,66.636,62.948,67.048,69.096
"69",2020,70.435,70.604,62.742,46.21,170.913,152.057,41.652,107.22,68.636,69.9,73.593,69.621
"70",2021,60.61,71.289,62.742,35.914,218.762,150.098,43.64,111.807,83.961,74.312,82.489,75.965
"71",2022,70.435,77.486,62.742,35.914,218.762,166.387,49.017,111.807,94.558,71.967,72.447,78.849
"72",2023,67.434,77.753,56.597,42.041,233.822,156.98,47.56,134.044,84.871,73.766,77.453,76.731
"73",2016,114.073,93.594,148.199,96.084,50.69,79.767,75.925,70.263,73.97,117.654,78.736,54.41
"74",2017,118.986,94.239,148.199,99.204,50.69,81.444,77.18,70.263,75.029,118.444,91.015,53.886
"75",2018,128.811,94.14,148.199,98.58,50.69,98.078,76.549,70.263,73.642,115.311,89.865,53.886
"76",2019,138.636,93.823,148.199,94.524,54.188,98.218,73.371,72.451,80.004,113.924,90.403,56.578
"77",2020,153.374,97.39,148.199,96.084,54.188,104.676,72.249,72.451,80.212,109.275,90.226,57.627
"78",2021,143.549,100.123,148.199,91.092,49.541,122.694,71.897,58.985,73.768,111.96,96.442,66.706
"79",2022,114.073,104.241,160.789,91.092,49.541,127.231,73.247,58.985,85.204,105.134,93.182,68.804
"80",2023,120,105.175,169.032,96.482,70.107,117.637,73.565,64.459,96.818,103.14,98.854,66.338
"81",2016,100,100,100,100,100,100,100,100,100,100,100,100
"82",2017,100,100.744,100,101.248,100,100.962,100.316,100,100.505,99.775,107.152,100.525
"83",2018,100,101.454,100,100,100,107.539,100.66,100,100.387,99.343,106.335,101.049
"84",2019,100,102.986,100,103.12,113.661,111.303,98.029,101.87,99.332,99.66,107.621,112.035
"85",2020,100,104.744,100,107.488,113.661,121.11,95.4,101.87,99.816,100.152,110.616,112.559
"86",2021,95.087,108.727,100,96.88,140.392,140.682,95.147,103.805,98.791,102.453,114.155,111.373
"87",2022,95.087,109.672,108.693,96.88,140.392,146.445,95.147,103.805,95.182,103.302,119.537,112.159
"88",2023,94.362,109.466,116.637,107.063,139.794,133.39,91.823,107.933,99.253,102.707,121.863,108.776
"89",2016,159.517,135.979,148.531,203.12,148.034,219.832,122.116,126.29,83.223,84.982,99.346,112.232
"90",2017,159.517,142.902,148.531,193.448,148.034,223.036,119.413,126.29,82.419,81.313,123.702,106.462
"91",2018,164.43,144.556,148.531,203.432,148.034,218.43,117.583,126.29,83.881,79.777,120.947,103.315
"92",2019,159.517,152.151,148.531,198.44,196.326,247.211,116.169,146.158,87.178,78.838,128.221,117.963
"93",2020,154.605,157.405,148.531,200.624,196.326,256.098,115.53,146.158,88.44,78.569,141.048,118.75
"94",2021,154.605,161.595,148.531,204.056,177.39,285.35,122.586,141.939,96.816,80.494,154.828,114.907
"95",2022,149.692,172.083,169.664,204.056,177.39,298.688,124.258,141.939,99.188,81.451,120.287,117.792
"96",2023,148.288,171.463,184.502,204.056,206.143,291.578,114.392,148.909,115.555,80.404,126.289,118.714
"97",2016,127.383,137.034,131.029,82.527,137.687,121.44,84.674,124.113,101.871,112.265,150.406,103.436
"98",2017,122.471,134.903,131.029,82.527,137.687,122.485,84.279,124.113,101.444,116.266,132.497,103.174
"99",2018,127.383,134.491,131.029,82.527,137.687,132.435,84.815,124.113,101.435,115.706,131.462,103.436
"100",2019,122.471,134.617,131.029,82.527,144.528,138.554,83.732,124.113,87.86,112.248,127.892,103.331
"101",2020,127.383,131.917,131.029,82.527,144.528,145.161,79.812,124.113,89.004,113.24,129.028,103.331
"102",2021,117.558,128.606,131.029,82.527,146.611,155.108,77.587,114.964,85.382,115.92,131.298,100.32
"103",2022,117.558,128.921,131.029,82.527,146.611,166.541,77.549,114.964,86.354,121.613,157.388,102.418
"104",2023,119.193,128.152,131.029,79.009,146.112,161.245,74.004,118.808,81.123,121.484,161.736,97.591
"105",2016,53.704,26.353,59.533,96.649,89.896,75.623,32.808,61.919,33.992,77.966,91.148,60.801
"106",2017,58.617,29.758,59.533,88.224,89.896,78.957,31.721,61.919,35.146,78.859,58.716,62.112
"107",2018,58.617,33.871,59.533,91.968,89.896,85.017,33.47,61.919,35.41,71.748,51.794,61.325
"108",2019,48.792,47.09,59.533,93.528,114.503,111.057,30.431,74.199,42.067,70.491,48.012,65.878
"109",2020,53.704,47.162,59.533,91.344,114.503,126.649,32.802,74.199,43.899,67.479,54.149,67.189
"110",2021,48.792,53.914,59.533,91.032,181.476,156.296,33.436,83.04,51.21,67.957,85.348,58.322
"111",2022,48.792,55.814,82.614,91.032,181.476,144.563,38.195,83.04,55.148,68.325,80.436,60.158
"112",2023,46.475,60.2,90.108,86.239,177.451,149.735,42.837,83.04,51.308,58.782,118.265,41.288
"113",2016,40.74,42.874,73.332,73.533,22.266,68.397,44.789,51.131,95.387,85.009,103.32,78.315
"114",2017,40.74,45.513,73.332,74.157,22.266,71.131,45.584,51.131,96.173,78.848,63.694,78.315
"115",2018,40.74,44.296,73.332,77.589,22.266,70.538,47.932,51.131,94.834,78.001,62.465,78.315
"116",2019,40.74,54.976,73.332,76.341,33.497,80.688,48.972,57.517,83.115,80.822,60.765,82.368
"117",2020,40.74,59.573,73.332,76.029,33.497,82.477,47.688,57.517,85.443,77.819,63.243,82.368
"118",2021,40.74,70.533,73.332,74.781,55.261,103.533,46.579,55.756,88.637,73.186,68.861,68.509
"119",2022,40.74,85.262,76.48,74.781,55.261,123.97,48.533,55.756,88.847,77.223,94.043,71.394
"120",2023,44.358,85.142,84.573,85.163,68.931,127.433,43.764,64.879,85.581,71.985,94.581,80.588
"121",2016,146.526,141.558,132.136,162.241,180.696,158.594,67.013,176.62,121.132,86.383,108.385,90.426
"122",2017,151.439,136.832,132.136,161.929,180.696,165.506,63.694,176.62,121.204,94.718,75.393,84.394
"123",2018,151.439,145.873,132.136,161.305,180.696,166.61,64.325,176.62,124.818,95.801,76.005,84.394
"124",2019,151.439,150.919,132.136,161.305,148.794,155.216,60.362,170.498,121.787,96.687,79.608,95.402
"125",2020,146.526,154.698,132.136,162.865,148.794,154.942,59.668,170.498,121.999,95.152,79.859,93.304
"126",2021,151.439,159.98,132.136,151.321,132.453,230.133,59.06,134.58,110.784,93.572,80.268,98.504
"127",2022,151.439,171.164,132.286,151.321,132.453,236.03,57.194,134.58,113.494,102.678,92.197,98.504
"128",2023,147.61,174.412,142.628,137.705,161.871,241.197,52.585,163.565,137.73,111.959,79.02,82.572
"129",2016,62.657,90.387,71.433,61.477,113.904,70.925,96.693,105.471,76.629,115.249,60.571,67.305
"130",2017,62.657,94.493,71.433,59.917,113.904,71.636,103.288,105.471,76.678,117.753,76.865,67.305
"131",2018,62.657,97.083,71.433,63.349,113.904,72.451,101.661,105.471,76.811,117.541,71.875,67.305
"132",2019,62.657,100.156,71.433,75.83,147.585,72.959,98.396,114.242,82.173,120.395,71.533,77.23
"133",2020,62.657,102.706,71.433,83.63,147.585,79.84,99.228,114.242,80.254,121.359,73.667,78.541
"134",2021,57.745,107.656,71.433,71.462,198.704,121.345,98.555,128.576,90.559,121.823,75.857,96.823
"135",2022,57.745,109.717,80.126,71.462,198.704,127.768,98.793,128.576,97.509,121.572,95.577,97.085
"136",2023,58.635,116.239,90.917,85.077,161.102,122.665,98.794,115.453,92.063,116.436,81.44,78.629
"137",2016,104.755,30.245,109.227,56.485,105.378,125.717,46.37,93.491,38.094,82.459,73.755,79.998
"138",2017,104.755,29.31,109.227,53.365,105.378,126.575,48.969,93.491,38.933,81.11,101.208,79.211
"139",2018,104.755,38.138,109.227,57.109,105.378,140.865,53.094,93.491,42.767,76.506,72.095,79.211
"140",2019,94.93,42.164,109.227,50.557,136.749,201.043,47.871,100.11,55.248,91.619,76.573,81.429
"141",2020,99.842,45.43,109.227,57.109,136.749,168.939,50.502,100.11,57.105,102.797,95.178,83.002
